;;;;;;;;;;;;;;;;;;;;;;;;;P;PI;NA;NP;VN;B;;;;;;;;;;
RIV;.;L1;.1;TERMO;TERMO;TERMO;;;;SOTTOCENTRALE TERMICA;SOTTOCENTRALE TERMICA;SOTTOCENTRALE TERMICA;SOTTOCENTRALE TERMICA;SOTTOCENTRALE TERMICA;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.2;FUMO;FUMO;FUMO;;;;LOCALE QUADRO ELETTRICO;LOCALE QUADRO ELETTRICO;LOCALE QUADRO ELETTRICO;LOCALE QUADRO ELETTRICO;LOCALE QUADRO ELETTRICO;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.3;FUMO;FUMO;FUMO;;;;SPOGLIATOIO PERSONALE;SPOGLIATOIO PERSONALE;SPOGLIATOIO PERSONALE;SPOGLIATOIO PERSONALE;SPOGLIATOIO PERSONALE;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.4;FUMO;FUMO;FUMO;CONTROSOFFITTO;CONTROSOFFITTO;CONTROSOFFITTO;SPOGLIATOIO PERSONALE;SPOGLIATOIO PERSONALE;SPOGLIATOIO PERSONALE;SPOGLIATOIO PERSONALE;SPOGLIATOIO PERSONALE;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.5;FUMO;FUMO;FUMO;;;;DEPOSITO SPORCO;DEPOSITO SPORCO;DEPOSITO SPORCO;DEPOSITO SPORCO;DEPOSITO SPORCO;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.6;FUMO;FUMO;FUMO;CONTROSOFFITTO;CONTROSOFFITTO;CONTROSOFFITTO;DPOSITO SPORCO;DPOSITO SPORCO;DPOSITO SPORCO;DPOSITO SPORCO;DPOSITO SPORCO;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.7;FUMO;FUMO;FUMO;;;;SENSORE 1 CORRIDOIO;SENSORE 1 CORRIDOIO;SENSORE 1 CORRIDOIO;SENSORE 1 CORRIDOIO;SENSORE 1 CORRIDOIO;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.8;FUMO;FUMO;FUMO;;;;SENSORE 2 CORRIDOIO;SENSORE 2 CORRIDOIO;SENSORE 2 CORRIDOIO;SENSORE 2 CORRIDOIO;SENSORE 2 CORRIDOIO;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.9;FUMO;FUMO;FUMO;;;;BOX 2;BOX 2;BOX 2;BOX 2;BOX 2;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIVELATORI LOOP 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INDIRIZZO;;;;TIPO;;;INSTALLAZIONE;;;DESCRIZIONE;;;;;ZONA;;;DATA DI INSTALLAZIONE
SOSTITUZIONE O REVISIONE;;;;;;;Esito;;;;;;Note a seguito di verifica;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;P;PI;NA;NP;VN;B;;;;;;;;;;
RIV;.;L1;.51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
